author_name,city_birth,city_residence,country,year_birth,year_death,work1,work2
Jennifer Egan,"Chicago, Illinois","Brooklyn, New York",USA,1962,,A Visit from the Goon Squad,Manhattan Beach
Donna Tartt,"Greenwood, Mississippi","New York City, New York",USA,1963,,The Secret History,The Goldfinch
Adam Johnson,South Dakota,"San Francisco, California",USA,1967,,The Orphan Master's Son,Fortune Smiles
Anthony Doerr,"Cleveland, Ohio","Boise, Idaho",USA,1973,,All the Light We Cannot See,Memory Wall
Andrew Sean Greer,"Washington, D.C.","San Francisco, California",USA,1970,,Less,The Confessions of Max Tivoli
Elif Batuman,"New York City, New York","San Francisco, California",USA,1977,,The Idiot,The Possessed
Richard Powers,"Evanston, Illinois","Cambridge, Massachusetts",USA,1957,,The Overstory,The Echo Maker
William Gaddis,"New York City, New York","East Hampton, New York",USA,1922,1998,The Recognitions,JR
Paul Auster,"Newark, New Jersey","Brooklyn, New York",USA,1947,,The New York Trilogy,Moon Palace
William S. Burroughs,"St. Louis, Missouri","Lawrence, Kansas",USA,1914,1997,Naked Lunch,Junky
Joshua Cohen,"Atlantic City, New Jersey","New York City, New York",USA,1980,,Book of Numbers,Witz
Ben Lerner,"Topeka, Kansas","Brooklyn, New York",USA,1979,,Leaving the Atocha Station,10:04
Hernan Diaz,Argentina,"New York City, New York",USA,,,In the Distance,
Ottessa Moshfegh,"Newton, Massachusetts","Los Angeles, California",USA,1981,,Eileen,My Year of Rest and Relaxation
George Saunders,"Amarillo, Texas","Syracuse, New York",USA,1958,,Lincoln in the Bardo,Tenth of December
Rachel Kushner,"Eugene, Oregon","Los Angeles, California",USA,1968,,The Flamethrowers,The Mars Room
Nick Drnaso,"Palos Hills, Illinois","Portland, Oregon",USA,,,Sabrina,
Brandon Taylor,"Charleston, West Virginia","Iowa City, Iowa",USA,,,Real Life,Filthy Animals
Patricia Lockwood,"Fort Wayne, Indiana","Savannah, Georgia",USA,1982,,No One Is Talking About This,Priestdaddy
Maggie Shipstead,"Orange, California","Los Angeles, California",USA,1983,,Seating Arrangements,Astonish Me
Percival Everett,"Fort Gordon, Georgia","Los Angeles, California",USA,1956,,Erasure,I Am Not Sidney Poitier
Paul Harding,"Wenatchee, Washington","Georgetown, Massachusetts",USA,1967,,Tinkers,Enon
Richard Ford,"Jackson, Mississippi","Boothbay, Maine",USA,1944,,Independence Day,The Sportswriter
Ha Jin,"Jinzhou, China","Boston, Massachusetts",USA,1956,,Waiting,War Trash
David Foster Wallace,"Ithaca, New York","Claremont, California",USA,1962,2008,Infinite Jest,Consider the Lobster
Nadine Gordimer,Springs,Johannesburg,South Africa,1923,2014,July's People,Burger's Daughter
J.M. Coetzee,Cape Town,Adelaide,South Africa,1940,,Disgrace,Waiting for the Barbarians
Marlene van Niekerk,Caledon,Cape Town,South Africa,1954,,Triomf,Agaat
Damon Galgut,Pretoria,Cape Town,South Africa,1963,,The Good Doctor,The Imposter
Willem Anker,Cradock,Stellenbosch,South Africa,1979,,Siegfried,Red Dog
André Brink,Vrede,Cape Town,South Africa,1935,2015,A Dry White Season,Kennis van die Aand
Naguib Mahfouz,Cairo,Cairo,Egypt,1911,2006,Palace Walk,The Cairo Trilogy
Ahdaf Soueif,Cairo,London,Egypt,1950,,The Map of Love,In the Eye of the Sun
Alaa Al Aswany,Cairo,Cairo,Egypt,1957,,The Yacoubian Building,Chicago
Nawal El Saadawi,Kafr Tahla,Cairo,Egypt,1931,2021,Woman at Point Zero,Memoirs of a Woman Doctor
Wole Soyinka,Abeokuta,Abeokuta,Nigeria,1934,,Death and the King's Horseman,Ake: The Years of Childhood
Chinua Achebe,Ogidi,Boston,Nigeria,1930,2013,Things Fall Apart,Anthills of the Savannah
Ben Okri,Minna,London,Nigeria,1959,,The Famished Road,Songs of Enchantment
Chimamanda Ngozi Adichie,Enugu,Lagos,Nigeria,1977,,Half of a Yellow Sun,Purple Hibiscus
Ayobami Adebayo,Lagos,Lagos,Nigeria,1988,,Stay with Me,-
Uwem Akpan,Ikot Akpan Nsa,Lagos,Nigeria,1971,,Say You're One of Them,-
Teju Cole,Kalamazoo,New York City,Nigeria,1975,,Open City,Every Day is for the Thief
Chigozie Obioma,Akure,Lincoln,Nigeria,1986,,The Fishermen,An Orchestra of Minorities
Oyinkan Braithwaite,Lagos,-,Nigeria,1988,,"My Sister, the Serial Killer",-
Helen Oyeyemi,Ibadan,Prague,Nigeria,1984,,White is for Witching,"Boy, Snow, Bird"
Dinaw Mengestu,Addis Ababa,"Washington, D.C.",Ethiopia,1978,,The Beautiful Things That Heaven Bears,All Our Names
Maaza Mengiste,Addis Ababa,New York City,Ethiopia,1971,,Beneath the Lion's Gaze,The Shadow King
Sulaiman Addonia,Eritrea,Brussels,Ethiopia,,,The Consequences of Love,Silence is My Mother Tongue
Nega Mezlekia,Jijiga,Toronto,Ethiopia,1958,,Notes from the Hyena's Belly,The God Who Begat a Jackal
Abraham Verghese,Addis Ababa,Palo Alto,Ethiopia,1955,,Cutting for Stone,My Own Country
Abdulrazak Gurnah,Zanzibar,Kent,Tanzania,1948,,Paradise,By the Sea
Erica Sugo Anyadike,Enugu,Lagos,Tanzania,,,-,-
Ngũgĩ wa Thiong'o,Kamiriithu,Irvine,Kenya,1938,,Devil on the Cross,Petals of Blood
Binyavanga Wainaina,Nakuru,Nairobi,Kenya,1971,2019,One Day I Will Write About This Place,How to Write About Africa
Grace Ogot,Gem,Nairobi,Kenya,1930,2015,The Promised Land,The River Between
Francis Imbuga,Vihiga,Nairobi,Kenya,1947,2013,Betrayal in the City,Aminata
Tayeb Salih,Al Dabbah,Khartoum,Sudan,1929,2009,Season of Migration to the North,The Wedding of Zein
Leila Aboulela,Cairo,Aberdeen,Sudan,1964,,Minaret,The Translator
Rania Mamoun,Omdurman,Khartoum,Sudan,,,Thirteen Months of Sunrise,Son of the Sun
Leila Slimani,Rabat,Paris,Morocco,1981,,Lullaby,Adele
Tahar Ben Jelloun,Fes,Paris,Morocco,1944,,This Blinding Absence of Light,The Sand Child
Laila Lalami,Rabat,Los Angeles,Morocco,1968,,The Moor's Account,The Other Americans
Mohamed Choukri,Beni Chiker,Tangier,Morocco,1935,2003,For Bread Alone,The Time Between
Kateb Yacine,Constantine,Grenoble,Algeria,1929,1989,Nedjma,Le Polygone Etoilé
Bernard-Henri Lévy,Béni Saf,Paris,Algeria,1948,,Barbarism with a Human Face,Who Killed Daniel Pearl?
Frantz Fanon,Fort-de-France,Tunis,"Algeria, Martinique",1925,1961,The Wretched of the Earth,"Black Skin, White Masks"
Kamel Daoud,Mostaganem,Oran,Algeria,1970,,The Meursault Investigation,"Zabor, or The Psalms"
Yaa Gyasi,Mampong,Brooklyn,Ghana,1989,,Homegoing,Transcendent Kingdom
Kwame Anthony Appiah,London,New York City,Ghana,1954,,Cosmopolitanism,The Lies That Bind
Nadia Owusu,Dar es Salaam,Brooklyn,Ghana,1980,,Aftershocks,-
Caleb Azumah Nelson,London,London,Ghana,,,Open Water,-
Esi Edugyan,Calgary,Victoria,Ghana,1978,,Half-Blood Blues,Washington Black
Ama Ata Aidoo,Abeadzi Kyiakor,Accra,Ghana,1942,,Our Sister Killjoy,Changes: A Love Story
José Eduardo Agualusa,Huambo,Lisbon,Angola,1960,,The Book of Chameleons,A General Theory of Oblivion
Pepetela,Benguela,Luanda,Angola,1941,,Mayombe,The Return of the Water Spirit
Gaŭz,-,Minsk,Ivory Coast,1974,,Захар Беркут,Місяць у Гаю
Paulina Chiziane,Manjacaze,Maputo,Mozambique,1955,,Balada de Amor ao Vento,Niketche: Uma História de Poligamia
Mia Couto,Beira,Maputo,Mozambique,1955,,Sleepwalking Land,Confession of the Lioness
Alain Mabanckou,Pointe-Noire,Los Angeles,DR Congo,1966,,Broken Glass,Memoirs of a Porcupine
Georges Ngal,Bangui,Paris,DR Congo,1974,,La mémoire courte,Sous le soleil de Bangui
Emmanuel Dongala,Brazzaville,Paris,DR Congo,1941,,Johnny Mad Dog,The Fire of Origins
David Diop,Paris,Paris,Senegal,1966,,At Night All Blood is Black,-
Mohamed Mbougar Sarr,Dakar,Paris,Senegal,1990,,Silence du chœur,La plus secrète mémoire des hommes
Mariama Bâ,Dakar,Dakar,Senegal,1929,1981,So Long a Letter,Scarlet Song
Ferdinand Oyono,N'Goulemakong,Yaoundé,Cameroon,1929,2010,Houseboy,The Old Man and the Medal
Imbolo Mbue,Limbe,New York City,Cameroon,,,Behold the Dreamers,How Beautiful We Were
Nuruddin Farah,Baidoa,Cape Town,Somalia,1945,,Maps,Links
Nadifa Mohamed,Hargeisa,London,Somalia,1981,,Black Mamba Boy,The Orchard of Lost Souls
Fiston Mwanza Mujila,Lubumbashi,Graz,DR Congo,1981,,Tram 83,The River in the Belly of the Snake
NoViolet Bulawayo,Tsholotsho,New York City,Zimbabwe,,,We Need New Names,-
Tsitsi Dangarembga,Mutoko,Harare,Zimbabwe,1959,,Nervous Conditions,This Mournable Body
Doris Lessing,Kermanshah,London,Zimbabwe,1919,2013,The Golden Notebook,The Grass is Singing
Hisham Matar,New York City,London,Libya,1970,,In the Country of Men,The Return
Ibrahim al-Koni,Ghadames,Switzerland,Libya,1948,,The Bleeding of the Stone,Anubis: A Desert Novel
Laila Neihoum,Port Sudan,Khartoum,Libya,,,The Wild Bread,The Hidden Seed
Antoine Abel,Mahébourg,Rose Belle,Seychelles,1934,2004,La mémoire d'une île,L'Exil de Léon-François
Aminatta Forna,Glasgow,London,Sierra Leone,1964,,The Memory of Love,The Hired Man
Akwaeke Emezi,Umuahia,New Orleans,Nigeria,1987,,Freshwater,The Death of Vivek Oji
Gabriel García Márquez,"Aracataca, Colombia","Mexico City, Mexico",Colombia,1927,2014,One Hundred Years of Solitude,Love in the Time of Cholera
Jorge Luis Borges,"Buenos Aires, Argentina","Geneva, Switzerland",Argentina,1899,1986,Ficciones,The Aleph
Pablo Neruda,"Parral, Chile","Santiago, Chile",Chile,1904,1973,Twenty Love Poems and a Song of Despair,Canto General
Julio Cortázar,"Brussels, Belgium","Paris, France",Argentina,1914,1984,Hopscotch,Blow-Up and Other Stories
Mario Vargas Llosa,"Arequipa, Peru","Madrid, Spain",Peru,1936,,The Time of the Hero,Conversation in the Cathedral
Octavio Paz,"Mexico City, Mexico","Mexico City, Mexico",Mexico,1914,1998,The Labyrinth of Solitude,Sunstone
Isabel Allende,"Lima, Peru","San Rafael, USA",Chile,1942,,The House of the Spirits,Eva Luna
Carlos Fuentes,"Panama City, Panama","Mexico City, Mexico",Mexico,1928,2012,The Death of Artemio Cruz,The Old Gringo
Clarice Lispector,"Chechelnyk, Ukraine","Rio de Janeiro, Brazil",Brazil,1920,1977,The Hour of the Star,Near to the Wild Heart
Juan Rulfo,"Sayula, Mexico","Mexico City, Mexico",Mexico,1917,1986,Pedro Páramo,The Burning Plain and Other Stories
Alejo Carpentier,"Lausanne, Switzerland","Paris, France",Cuba,1904,1980,The Kingdom of This World,The Lost Steps
César Vallejo,"Santiago de Chuco, Peru","Paris, France",Peru,1892,1938,Trilce,Poemas humanos
José Martí,"Havana, Cuba","New York, USA",Cuba,1853,1895,Versos Sencillos,Ismaelillo
Rubén Darío,"Metapa, Nicaragua","León, Nicaragua",Nicaragua,1867,1916,Azul...,Cantos de vida y esperanza
Roberto Bolaño,"Santiago, Chile","Blanes, Spain",Chile,1953,2003,The Savage Detectives,2666
Gabriela Mistral,"Vicuña, Chile","New York, USA",Chile,1889,1957,Desolación,Tala
Machado de Assis,"Rio de Janeiro, Brazil","Rio de Janeiro, Brazil",Brazil,1839,1908,Dom Casmurro,The Posthumous Memoirs of Brás Cubas
Juan Carlos Onetti,"Montevideo, Uruguay","Madrid, Spain",Uruguay,1909,1994,The Shipyard,A Brief Life
Manuel Puig,"General Villegas, Argentina","Cuernavaca, Mexico",Argentina,1932,1990,Kiss of the Spider Woman,Betrayed by Rita Hayworth
João Guimarães Rosa,"Cordisburgo, Brazil","Rio de Janeiro, Brazil",Brazil,1908,1967,The Devil to Pay in the Backlands,Sagarana
Adolfo Bioy Casares,"Buenos Aires, Argentina","Buenos Aires, Argentina",Argentina,1914,1999,The Invention of Morel,Asleep in the Sun
Rosario Castellanos,"Mexico City, Mexico","Tel Aviv, Israel",Mexico,1925,1974,Balún Canán,The Book of Lamentations
Horacio Quiroga,"Salto, Uruguay","Buenos Aires, Argentina",Uruguay,1878,1937,Cuentos de la selva,The Decapitated Chicken
Alfonsina Storni,"Sala Capriasca, Switzerland","Buenos Aires, Argentina",Argentina,1892,1938,You Want Me White,I'm Going to Sleep
Jorge Amado,"Itabuna, Brazil","Salvador, Brazil",Brazil,1912,2001,Dona Flor and Her Two Husbands,"Gabriela, Clove and Cinnamon"
Ricardo Piglia,"Adrogué, Argentina","Buenos Aires, Argentina",Argentina,1941,2017,Artificial Respiration,The Absent City
José Donoso,"Santiago, Chile","Santiago, Chile",Chile,1924,1996,The Obscene Bird of Night,Coronation
Álvaro Mutis,"Bogotá, Colombia","Mexico City, Mexico",Colombia,1923,2013,The Adventures and Misadventures of Maqroll,The Snow of the Admiral
Sor Juana Inés de la Cruz,"San Miguel Nepantla, Mexico","Mexico City, Mexico",Mexico,1648,1695,Response to Sor Filotea,First Dream
Nicolás Guillén,"Camagüey, Cuba","Havana, Cuba",Cuba,1902,1989,Motivos de son,Songoro Cosongo
Juan José Arreola,"Zapotlán el Grande, Mexico","Guadalajara, Mexico",Mexico,1918,2001,Confabulario,The Fair
Silvina Ocampo,"Buenos Aires, Argentina","Buenos Aires, Argentina",Argentina,1903,1993,Thus Were Their Faces,The Fury
José Lezama Lima,"Havana, Cuba","Havana, Cuba",Cuba,1910,1976,Paradiso,Oppiano Licario
Augusto Roa Bastos,"Asunción, Paraguay","Asunción, Paraguay",Paraguay,1917,2005,"I, the Supreme",Son of Man
Nicanor Parra,"San Fabián, Chile","Santiago, Chile",Chile,1914,2018,Poems and Antipoems,Emergency Poems
Miguel Ángel Asturias,"Guatemala City, Guatemala","Madrid, Spain",Guatemala,1899,1974,Men of Maize,The President
Severo Sarduy,"Camagüey, Cuba","Paris, France",Cuba,1937,1993,Cobra,Maitreya
Manuel Scorza,"Lima, Peru","Madrid, Spain",Peru,1928,1983,Redoble por Rancas,The Sleepless Rider
Juan Gelman,"Buenos Aires, Argentina","Mexico City, Mexico",Argentina,1930,2014,The Dark Room and Other Poems,Com/positions
Luisa Valenzuela,"Buenos Aires, Argentina","Buenos Aires, Argentina",Argentina,1938,,The Lizard's Tail,He Who Searches
